Current, Ch B vs Voltage, ChA, Run #11
Voltage, ChA ( V )	Current, Ch B ( A )
1.434	2.647
3.412	5.746
2.167	3.839
0.696	1.605
2.904	5.976
1.433	2.012
3.412	3.065
2.170	2.822
0.696	1.596
2.904	4.232
1.434	1.273
3.413	1.320
0.016	0.527
0.032	0.037
0.046	0.016
0.060	0.007
0.074	0.000
0.088	-0.010
0.101	-0.011
0.117	-0.007
0.131	-0.007
0.146	-0.007
0.159	-0.007
0.175	-0.007
0.188	-0.007
0.202	-0.005
0.215	0.000
0.229	-0.001
0.244	-0.001
0.258	-0.002
0.273	-6.104E-4
0.287	-6.104E-4
0.300	0.000
0.314	6.104E-4
0.328	0.001
0.341	0.001
0.355	0.002
0.370	0.001
0.385	0.002
0.398	0.002
0.412	0.002
0.426	0.003
0.440	0.004
0.453	0.004
0.468	0.004
0.482	0.004
0.496	0.005
0.510	0.005
0.523	0.007
0.537	0.007
0.551	0.009
0.565	0.012
0.580	0.015
0.593	0.021
0.607	0.030
0.620	0.042
0.635	0.059
0.649	0.083
0.663	0.117
0.677	0.157
0.692	0.195
0.706	0.220
0.717	0.219
0.732	0.243
0.746	0.192
0.761	0.204
0.774	0.150
0.789	-6.104E-4
0.803	0.213
0.815	0.130
0.829	0.134
0.844	-0.049
0.859	0.198
0.872	0.078
0.886	0.056
0.899	0.044
0.913	0.039
0.927	0.036
0.941	0.033
0.956	0.031
0.969	0.029
0.983	0.028
0.997	0.028
1.010	0.032
1.024	0.040
1.038	0.056
1.053	0.085
1.066	0.131
1.079	0.204
1.094	0.305
1.107	0.427
1.122	0.577
1.135	0.858
1.149	0.958
1.162	1.164
1.177	1.354
1.190	1.496
1.204	1.549
1.219	1.508
1.232	1.394
1.245	1.241
1.259	1.080
1.273	0.916
1.288	0.756
1.302	0.611
1.315	0.486
1.329	0.382
1.343	0.297
1.356	0.231
1.370	0.178
1.386	0.140
1.398	0.111
1.411	0.093
1.425	0.079
1.439	0.070
1.453	0.062
1.467	0.059
1.481	0.063
1.494	0.069
1.508	0.095
1.523	0.144
1.535	0.232
1.550	0.355
1.564	0.521
1.577	0.726
1.591	0.980
1.605	1.280
1.619	1.639
1.632	2.033
1.646	2.447
1.660	2.847
1.674	3.178
1.688	3.388
1.702	3.434
1.717	3.320
1.729	3.082
1.742	2.780
1.757	2.445
1.771	2.098
1.785	1.746
1.797	1.416
1.811	1.135
1.825	0.900
1.840	0.709
1.854	0.555
1.866	0.425
1.881	0.343
1.894	0.272
1.908	0.220
1.922	0.179
1.937	0.154
1.951	0.137
1.964	0.129
1.976	0.140
1.991	0.175
2.005	0.245
2.017	0.358
2.032	0.521
2.045	0.736
2.059	1.005
2.073	1.354
2.088	1.766
2.101	2.250
2.114	2.797
2.128	3.391
2.142	3.996
2.156	4.575
2.169	5.045
2.183	5.368
2.197	5.497
2.211	5.440
2.225	5.231
2.238	4.906
2.250	4.481
2.266	3.996
2.279	3.464
2.294	2.937
2.306	2.456
2.321	2.032
2.334	1.663
2.347	1.351
2.362	1.094
2.376	0.891
2.389	0.730
2.402	0.603
2.416	0.502
2.430	0.427
2.444	0.379
2.459	0.349
2.471	0.353
2.485	0.396
2.501	0.487
2.514	0.630
2.528	0.836
2.540	1.105
2.554	1.467
2.567	1.910
2.582	2.445
2.596	3.063
2.608	3.760
2.622	4.516
2.636	5.286
2.650	6.040
2.665	6.711
2.678	7.248
2.691	7.613
2.705	7.794
2.718	7.801
2.733	7.669
2.747	7.312
2.759	6.834
2.772	6.249
2.787	5.610
2.800	4.968
2.816	4.346
2.827	3.718
2.841	3.212
2.855	2.734
2.870	2.327
2.882	1.984
2.896	1.693
2.910	1.452
2.924	1.268
2.937	1.107
2.950	1.000
2.964	0.939
2.979	0.930
2.992	0.981
3.007	1.105
3.020	1.292
3.034	1.592
3.048	1.984
3.060	2.482
3.074	3.093
3.087	3.816
