Current, Ch B vs Voltage, ChA, Run #12
Voltage, ChA ( V )	Current, Ch B ( A )
0.690	1.623
2.899	8.100
1.425	2.738
3.407	9.995
2.161	5.619
0.687	1.614
2.895	8.120
1.423	2.753
3.412	9.362
2.158	5.495
0.685	1.603
2.894	8.062
1.422	2.683
3.412	9.995
2.157	4.741
0.684	1.608
0.621	1.909
0.020	-0.040
0.036	-0.024
0.049	-0.019
0.065	-0.060
0.078	-0.034
0.092	-0.008
0.106	-0.013
0.121	-0.012
0.136	-0.011
0.150	0.003
0.164	-0.011
0.178	-0.008
0.192	-0.009
0.204	-0.011
0.220	0.138
0.234	0.009
0.248	-6.104E-4
0.261	0.000
0.276	-6.104E-4
0.291	0.000
0.304	6.104E-4
0.318	0.000
0.331	0.001
0.345	0.004
0.360	0.002
0.374	0.003
0.388	0.002
0.403	0.002
0.415	0.002
0.429	0.004
0.444	0.003
0.458	0.005
0.472	0.004
0.486	0.005
0.500	0.008
0.513	0.009
0.527	0.013
0.541	0.021
0.555	0.031
0.569	0.046
0.584	0.068
0.598	0.097
0.610	0.143
0.626	0.197
0.638	0.244
0.653	0.277
0.667	0.291
0.682	0.284
0.695	0.269
0.709	0.253
0.723	0.223
0.736	0.194
0.751	0.167
0.764	0.139
0.779	0.116
0.792	0.098
0.805	0.073
0.821	0.067
0.834	0.055
0.848	0.048
0.862	0.042
0.875	0.037
0.889	0.033
0.903	0.031
0.917	0.027
0.931	0.026
0.945	0.027
0.959	0.027
0.972	0.032
0.986	0.044
1.000	0.071
1.014	0.115
1.028	0.189
1.042	0.296
1.056	0.435
1.068	0.606
1.083	0.814
1.097	1.073
1.112	1.307
1.126	1.542
1.139	1.725
1.152	1.808
1.166	1.777
1.180	1.659
1.194	1.521
1.210	1.307
1.221	1.116
1.235	0.926
1.251	0.751
1.263	0.599
1.278	0.472
1.292	0.339
1.304	0.280
1.317	0.214
1.332	0.164
1.346	0.128
1.361	0.101
1.375	0.082
1.387	0.071
1.400	0.060
1.415	0.056
1.429	0.056
1.444	0.060
1.456	0.077
1.471	0.120
1.485	0.203
1.498	0.339
1.512	0.527
1.526	0.770
1.540	1.077
1.553	1.449
1.567	1.893
1.581	2.384
1.596	2.943
1.609	3.480
1.621	3.944
1.635	4.262
1.649	4.374
1.664	4.271
1.678	4.006
1.691	3.639
1.704	3.229
1.719	2.757
1.733	2.311
1.747	1.879
1.760	1.503
1.774	1.189
1.787	0.928
1.801	0.718
1.815	0.554
1.830	0.430
1.843	0.332
1.857	0.259
1.870	0.207
1.884	0.166
1.898	0.141
1.912	0.126
1.926	0.129
1.939	0.154
1.954	0.219
1.967	0.342
1.981	0.531
1.995	0.793
2.007	1.135
2.021	1.574
2.035	2.113
2.050	2.758
2.062	3.502
2.077	4.323
2.091	5.184
2.104	6.018
2.118	6.738
2.131	7.257
2.147	7.518
2.160	7.512
2.172	7.285
2.188	6.878
2.200	6.330
2.214	5.667
2.227	4.932
2.240	4.193
2.255	3.505
2.269	2.886
2.283	2.347
2.296	1.887
2.310	1.511
2.324	1.210
2.337	0.298
2.352	2.049
2.366	0.510
2.379	0.508
2.391	0.424
2.406	0.382
2.421	0.364
2.435	0.402
2.447	0.497
2.461	0.671
2.474	0.928
2.489	1.286
2.503	1.760
2.517	2.358
2.529	3.098
2.543	3.978
2.557	4.984
2.571	6.093
2.586	7.265
2.599	8.430
2.611	9.499
2.626	9.995
2.637	9.995
2.650	9.995
2.665	9.995
2.680	9.995
2.694	9.995
2.708	9.995
2.723	9.507
2.736	8.573
2.748	7.614
2.763	6.662
2.777	5.751
2.791	4.909
2.803	4.157
2.817	3.511
2.831	2.961
2.846	2.496
2.859	2.110
2.872	1.796
2.885	1.547
2.900	1.360
2.913	1.237
2.928	1.191
2.941	1.238
2.954	1.386
2.969	1.652
2.982	2.055
2.994	2.618
3.010	3.367
3.023	4.294
3.036	5.423
3.051	6.737
3.065	8.229
3.077	9.853
3.088	9.995
3.101	9.995
