Voltage, ChA, Run #15
Time ( s )	Voltage ( V )
0.0000	0.091
0.1000	0.086
0.2000	0.077
0.3000	0.073
0.4000	0.077
0.5000	0.075
0.6000	0.068
0.7000	0.059
0.8000	0.054
0.9000	0.051
1.0000	0.046
1.1000	0.044
1.2000	0.038
1.3000	0.031
1.4000	0.031
1.5000	0.024
1.6000	0.017
1.7000	0.016
1.8000	0.013
1.9000	0.020
2.0000	0.035
2.1000	0.049
2.2000	0.056
2.3000	0.065
2.4000	0.080
2.5000	0.117
2.6000	0.154
2.7000	0.185
2.8000	0.228
2.9000	0.277
3.0000	0.319
3.1000	0.343
3.2000	0.357
3.3000	0.358
3.4000	0.362
3.5000	0.347
3.6000	0.331
3.7000	0.308
3.8000	0.284
3.9000	0.271
4.0000	0.247
4.1000	0.229
4.2000	0.212
4.3000	0.192
4.4000	0.175
4.5000	0.158
4.6000	0.133
4.7000	0.111
4.8000	0.093
4.9000	0.079
5.0000	0.069
5.1000	0.053
5.2000	0.039
5.3000	0.023
5.4000	0.005
5.5000	-0.014
5.6000	-0.023
5.7000	-0.036
5.8000	-0.050
5.9000	-0.064
6.0000	-0.073
6.1000	-0.080
6.2000	-0.100
6.3000	-0.124
6.4000	-0.129
6.5000	-0.138
6.6000	-0.154
6.7000	-0.162
6.8000	-0.170
6.9000	-0.181
7.0000	-0.192
7.1000	-0.211
7.2000	-0.213
7.3000	-0.223
7.4000	-0.237
7.5000	-0.236
7.6000	-0.237
7.7000	-0.248
7.8000	-0.253
7.9000	-0.267
8.0000	-0.266
8.1000	-0.265
8.2000	-0.266
8.3000	-0.267
8.4000	-0.267
8.5000	-0.261
8.6000	-0.255
8.7000	-0.261
8.8000	-0.261
8.9000	-0.251
9.0000	-0.244
9.1000	-0.234
9.2000	-0.229
9.3000	-0.222
9.4000	-0.212
9.5000	-0.204
9.6000	-0.199
9.7000	-0.183
9.8000	-0.174
9.9000	-0.157
10.0000	-0.151
10.1000	-0.142
10.2000	-0.135
10.3000	-0.124
10.4000	-0.115
10.5000	-0.104
10.6000	-0.095
10.7000	-0.085
10.8000	-0.076
10.9000	-0.068
11.0000	-0.064
11.1000	-0.056
11.2000	-0.051
11.3000	-0.045
11.4000	-0.039
11.5000	-0.035
11.6000	-0.029
11.7000	-0.025
11.8000	-0.024
11.9000	-0.020
12.0000	-0.016
12.1000	-0.014
12.2000	-0.010
12.3000	-0.008
12.4000	-0.006
12.5000	-0.004
12.6000	-0.002
12.7000	0.000
12.8000	0.003
12.9000	0.003
13.0000	0.007
13.1000	0.011
13.2000	0.012
13.3000	0.014
13.4000	0.015
13.5000	0.016
13.6000	0.020
13.7000	0.025
13.8000	0.025
13.9000	0.031
14.0000	0.032
14.1000	0.034
14.2000	0.038
14.3000	0.040
14.4000	0.044
14.5000	0.048
14.6000	0.049
14.7000	0.055
14.8000	0.056
14.9000	0.058
15.0000	0.060
15.1000	0.066
15.2000	0.066
15.3000	0.073
15.4000	0.073
15.5000	0.075
15.6000	0.077
15.7000	0.077
15.8000	0.079
15.9000	0.082
16.0000	0.083
16.1000	0.084
16.2000	0.084
16.3000	0.086
16.4000	0.086
16.5000	0.082
16.6000	0.079
16.7000	0.083
16.8000	0.081
16.9000	0.079
17.0000	0.079
17.1000	0.075
17.2000	0.071
17.3000	0.072
17.4000	0.066
17.5000	0.067
17.6000	0.062
17.7000	0.062
17.8000	0.057
17.9000	0.062
18.0000	0.049
18.1000	0.048
18.2000	0.042
18.3000	0.041
18.4000	0.039
18.5000	0.027
18.6000	0.022
18.7000	0.024
18.8000	0.024
18.9000	0.015
19.0000	0.008
19.1000	0.001
19.2000	-0.003
19.3000	0.004
19.4000	-0.005
19.5000	-0.004
19.6000	-0.011
19.7000	-0.014
19.8000	-0.005
19.9000	-0.018
20.0000	-0.018
20.1000	-0.036
20.2000	-0.028
20.3000	-0.033
20.4000	-0.030
20.5000	-0.034
20.6000	-0.035
20.7000	-0.031
