Voltage, ChA, Run #27
Time ( s )	Voltage ( V )
0.0000	-0.001
0.1000	-0.005
0.2000	-0.001
0.3000	-0.001
0.4000	0.000
0.5000	0.003
0.6000	0.002
0.7000	0.000
0.8000	-0.005
0.9000	-0.004
1.0000	-0.001
1.1000	-0.003
1.2000	0.000
1.3000	0.007
1.4000	0.003
1.5000	0.003
1.6000	-0.007
1.7000	-0.006
1.8000	0.001
1.9000	0.002
2.0000	-0.004
2.1000	0.005
2.2000	0.005
2.3000	-0.001
2.4000	-0.002
2.5000	-0.004
2.6000	-0.002
2.7000	0.002
2.8000	0.000
2.9000	0.004
3.0000	-0.001
3.1000	-0.005
3.2000	-0.004
3.3000	-0.004
3.4000	-0.004
3.5000	0.000
3.6000	-0.001
3.7000	0.005
3.8000	0.003
3.9000	-0.003
4.0000	-0.003
4.1000	-0.003
4.2000	-0.001
4.3000	-0.003
4.4000	0.001
4.5000	0.003
4.6000	0.002
4.7000	-0.005
4.8000	-0.001
4.9000	-0.002
5.0000	-0.002
5.1000	0.000
5.2000	0.001
5.3000	0.002
5.4000	0.001
5.5000	-0.004
5.6000	-0.004
5.7000	-0.003
5.8000	-0.002
5.9000	0.002
6.0000	0.000
6.1000	0.005
6.2000	0.004
6.3000	-0.003
6.4000	-0.004
6.5000	-0.003
6.6000	0.000
6.7000	0.004
6.8000	0.000
6.9000	-0.002
7.0000	0.000
7.1000	-0.002
7.2000	-0.001
7.3000	-0.002
7.4000	0.000
7.5000	0.005
7.6000	0.000
7.7000	0.000
7.8000	0.002
7.9000	-0.001
8.0000	-0.002
8.1000	-0.002
8.2000	-0.001
8.3000	0.002
8.4000	0.003
8.5000	-0.001
8.6000	0.004
8.7000	0.001
8.8000	0.000
8.9000	-0.003
9.0000	-0.003
9.1000	0.005
9.2000	0.003
9.3000	0.000
9.4000	-0.002
9.5000	0.000
9.6000	0.001
9.7000	-0.001
9.8000	-0.003
9.9000	0.000
10.0000	0.003
10.1000	-0.001
10.2000	0.000
10.3000	-0.003
10.4000	-0.001
10.5000	-0.001
10.6000	-0.002
10.7000	0.001
10.8000	0.001
10.9000	-0.001
11.0000	-0.001
11.1000	-0.004
11.2000	-0.006
11.3000	0.001
11.4000	0.001
11.5000	-0.004
11.6000	0.003
11.7000	0.000
11.8000	0.003
11.9000	-0.001
12.0000	-0.001
12.1000	0.000
12.2000	-0.004
12.3000	-0.002
12.4000	-0.002
12.5000	0.004
12.6000	-0.001
12.7000	-0.002
12.8000	0.000
12.9000	0.002
13.0000	0.002
13.1000	-0.003
13.2000	-0.002
13.3000	0.002
13.4000	0.001
13.5000	0.003
13.6000	-0.001
13.7000	0.003
13.8000	0.002
13.9000	-0.001
14.0000	-0.001
14.1000	-0.002
14.2000	0.000
14.3000	0.007
14.4000	-0.002
14.5000	-0.003
14.6000	0.004
14.7000	0.001
14.8000	0.000
14.9000	-0.002
15.0000	0.001
15.1000	0.007
15.2000	0.002
15.3000	-0.002
15.4000	0.003
15.5000	-0.002
15.6000	-0.002
15.7000	-0.002
15.8000	0.000
15.9000	-0.002
16.0000	-0.002
16.1000	0.001
16.2000	0.000
16.3000	-0.006
16.4000	-0.002
16.5000	-0.001
16.6000	0.003
16.7000	-0.001
16.8000	0.000
16.9000	0.001
17.0000	0.000
17.1000	-0.004
17.2000	-0.003
17.3000	0.002
17.4000	0.002
17.5000	0.001
17.6000	0.001
17.7000	-0.004
17.8000	-0.001
17.9000	0.000
18.0000	-0.004
18.1000	0.001
18.2000	0.001
18.3000	0.002
18.4000	0.003
18.5000	0.000
18.6000	-0.002
18.7000	0.000
18.8000	-0.004
18.9000	-0.002
19.0000	0.000
19.1000	0.002
19.2000	0.004
19.3000	-0.001
19.4000	-0.001
19.5000	0.001
19.6000	-0.003
19.7000	-0.002
19.8000	0.000
19.9000	0.004
20.0000	-0.001
20.1000	-0.003
20.2000	-0.002
20.3000	0.000
20.4000	-0.004
20.5000	0.004
20.6000	0.006
20.7000	0.000
20.8000	-0.004
20.9000	0.000
21.0000	-0.002
21.1000	-0.005
21.2000	-0.003
21.3000	-0.003
21.4000	0.008
21.5000	0.002
21.6000	-0.002
21.7000	-0.001
21.8000	0.001
21.9000	-0.003
22.0000	-0.003
22.1000	-0.006
22.2000	0.003
22.3000	0.004
22.4000	0.002
22.5000	-0.002
22.6000	-0.003
22.7000	0.004
22.8000	-0.002
22.9000	-0.006
23.0000	0.003
23.1000	0.004
23.2000	-0.002
23.3000	-0.002
23.4000	-0.002
23.5000	-0.001
23.6000	0.000
23.7000	-0.003
23.8000	0.002
23.9000	0.002
24.0000	-0.001
24.1000	-0.004
24.2000	-0.002
24.3000	-0.004
24.4000	-0.001
24.5000	0.000
24.6000	0.005
24.7000	0.008
24.8000	-0.002
24.9000	-0.005
25.0000	0.000
25.1000	-0.003
25.2000	-0.004
25.3000	0.000
25.4000	0.003
25.5000	0.004
25.6000	0.000
25.7000	-0.003
25.8000	0.000
25.9000	-0.005
26.0000	-0.004
26.1000	0.001
26.2000	0.003
26.3000	0.002
26.4000	0.003
26.5000	-0.001
26.6000	0.000
26.7000	-0.003
26.8000	-0.003
26.9000	0.002
27.0000	0.003
27.1000	-0.002
27.2000	0.003
27.3000	-0.003
27.4000	-0.005
27.5000	-0.003
27.6000	-0.001
27.7000	-0.001
27.8000	0.000
27.9000	0.000
28.0000	0.007
28.1000	-0.001
28.2000	-0.005
28.3000	-0.002
28.4000	-0.001
28.5000	0.000
28.6000	0.000
28.7000	0.000
28.8000	0.006
28.9000	-0.001
29.0000	-0.005
29.1000	-0.001
29.2000	0.001
29.3000	-0.005
29.4000	0.000
29.5000	0.001
29.6000	0.003
29.7000	-0.001
29.8000	-0.003
29.9000	0.000
30.0000	0.003
30.1000	0.000
30.2000	-0.002
30.3000	-0.001
30.4000	0.001
30.5000	0.004
30.6000	0.000
30.7000	0.000
30.8000	0.003
30.9000	0.001
31.0000	0.001
31.1000	0.000
31.2000	-0.004
31.3000	0.003
31.4000	0.001
31.5000	-0.001
31.6000	-0.001
31.7000	0.000
31.8000	0.002
31.9000	0.000
32.0000	-0.008
32.1000	0.000
32.2000	0.003
32.3000	0.000
32.4000	0.004
32.5000	-0.003
32.6000	0.001
32.7000	0.001
32.8000	-0.004
32.9000	-0.002
33.0000	-0.002
33.1000	-0.002
33.2000	0.002
33.3000	0.001
33.4000	0.000
33.5000	-0.001
33.6000	-0.001
33.7000	-0.003
33.8000	0.003
33.9000	-0.001
34.0000	0.000
34.1000	-0.001
34.2000	0.000
34.3000	0.000
34.4000	-0.005
34.5000	-0.002
34.6000	0.007
34.7000	0.000
34.8000	-0.008
34.9000	-0.004
35.0000	0.001
35.1000	0.003
35.2000	0.002
35.3000	-0.003
35.4000	0.005
35.5000	0.001
35.6000	-0.004
35.7000	-0.005
35.8000	-0.005
35.9000	0.002
36.0000	0.003
36.1000	0.002
36.2000	0.003
36.3000	0.000
36.4000	-0.003
36.5000	-0.002
36.6000	-0.002
36.7000	-0.004
36.8000	0.003
36.9000	0.003
37.0000	0.003
37.1000	0.003
37.2000	-0.003
37.3000	0.001
37.4000	-0.004
37.5000	-0.005
37.6000	0.000
37.7000	0.002
37.8000	0.005
37.9000	0.003
38.0000	-0.003
38.1000	-0.002
38.2000	0.001
38.3000	-0.005
38.4000	0.003
38.5000	0.000
38.6000	-0.005
38.7000	-0.003
38.8000	-0.003
38.9000	-0.002
39.0000	0.001
39.1000	-0.003
39.2000	0.002
39.3000	0.002
39.4000	-0.002
39.5000	0.003
39.6000	-0.002
39.7000	-0.007
39.8000	0.003
39.9000	0.002
40.0000	0.001
40.1000	0.001
40.2000	0.005
40.3000	0.000
40.4000	-0.010
40.5000	-0.012
40.6000	0.002
40.7000	0.008
40.8000	0.001
40.9000	-0.001
41.0000	-0.002
41.1000	0.002
41.2000	-0.002
41.3000	-0.007
41.4000	-0.007
41.5000	-0.002
41.6000	-0.003
41.7000	0.007
41.8000	0.000
41.9000	-0.005
42.0000	-0.007
42.1000	-0.008
42.2000	-0.003
42.3000	0.001
42.4000	0.003
42.5000	0.003
42.6000	0.001
42.7000	0.000
42.8000	-0.007
42.9000	-0.002
43.0000	-0.008
43.1000	-0.004
43.2000	0.002
43.3000	-0.005
43.4000	0.001
43.5000	0.000
43.6000	-0.005
43.7000	-0.007
43.8000	0.002
43.9000	0.002
44.0000	0.003
44.1000	-0.003
44.2000	0.001
44.3000	0.001
44.4000	-0.002
44.5000	-0.006
44.6000	-0.006
44.7000	0.001
44.8000	0.003
44.9000	-0.003
45.0000	0.003
45.1000	-0.004
45.2000	-0.005
45.3000	-0.003
45.4000	0.003
45.5000	0.000
45.6000	0.002
45.7000	0.003
45.8000	-0.005
45.9000	-0.001
46.0000	0.002
46.1000	-0.001
46.2000	0.002
46.3000	-0.012
46.4000	-0.005
46.5000	0.003
46.6000	0.001
46.7000	-0.001
46.8000	-0.008
46.9000	-0.005
47.0000	0.002
47.1000	0.008
47.2000	0.002
47.3000	-0.002
47.4000	-0.001
47.5000	0.000
47.6000	0.001
47.7000	0.000
47.8000	-0.010
47.9000	0.000
48.0000	0.005
48.1000	0.001
48.2000	-0.007
48.3000	-0.002
48.4000	0.003
48.5000	-0.003
48.6000	-0.002
48.7000	-0.003
48.8000	-0.003
48.9000	0.002
49.0000	0.000
49.1000	0.001
49.2000	0.002
49.3000	-0.001
49.4000	-0.002
49.5000	0.003
49.6000	-0.001
49.7000	-0.004
49.8000	0.002
49.9000	-0.003
50.0000	0.001
50.1000	-0.001
50.2000	-0.001
50.3000	-0.002
50.4000	0.002
50.5000	0.000
50.6000	-0.005
50.7000	-0.002
50.8000	0.003
50.9000	0.005
51.0000	-0.002
51.1000	-0.005
51.2000	-0.002
51.3000	-0.001
51.4000	0.002
51.5000	-0.001
51.6000	-0.006
51.7000	-0.003
51.8000	0.003
51.9000	0.000
52.0000	0.001
52.1000	-0.001
52.2000	-0.002
52.3000	0.006
52.4000	-0.003
52.5000	-0.010
52.6000	-0.003
52.7000	0.001
52.8000	0.002
52.9000	0.003
53.0000	-0.005
53.1000	0.006
53.2000	0.007
53.3000	-0.005
53.4000	-0.004
53.5000	-0.002
